Food_Name,Calories_kcal,Carbs_g,Protein_g,Fat_g,Sodium_mg,Fiber_g,Saturated_Fat_g,Meal_Type
chicken noodle soup,145,18.4,7.2,4.7,2100.0,2.7,1.2,Dinner
chicken bouillon dry,11,0.7,0.7,0.6,1000.0,0.0,0.1,Snack
cream of asparagus soup,174,21.5,4.6,8.2,1700.0,1.0,2.1,Lunch
turkey noodle soup,139,17.3,7.8,4.0,1600.0,1.5,1.1,Dinner
cream of shrimp soup,181,16.5,5.6,10.4,1700.0,0.5,6.5,Snack
bean with pork soup,335,44.1,15.3,11.5,1700.0,15.3,3.0,Breakfast
chicken broth,12,1.0,1.0,0.5,900.0,0.0,0.008,Dinner
beef broth powder,8,0.6,0.6,0.3,900.0,0.0,0.2,Lunch
split pea soup,180,29.9,9.7,2.3,400.0,4.8,0.8,Breakfast
escarole soup,61,4.0,3.4,4.0,2300.0,0.0,1.2,Breakfast
chicken stock,86,8.5,6.0,2.9,300.0,0.0,0.8,Breakfast
tomato bisque soup,248,47.7,4.5,5.0,1800.0,2.1,1.1,Dinner
shark fin soup,99,8.2,6.9,4.3,1100.0,0.0,1.1,Lunch
onion soup,113,16.4,7.5,3.5,1300.0,1.7,0.5,Breakfast
chicken gumbo soup,113,16.8,5.3,2.9,1700.0,4.0,0.7,Snack
crab soup,95,12.5,10.4,0.8,600.0,2.4,0.2,Breakfast
tripe soup,148,8.1,17.2,5.2,800.0,0.0,2.1,Breakfast
little india little lunch,164,2.0,0.0,10.6,0.0,0.0,15.6,Dinner
original chicken sandwich chick fil a,125,0.0,0.0,5.1,0.0,0.0,11.6,Dinner
sausage mcmuffin mcdonalds,383,28.2,14.6,24.2,800.0,1.6,8.3,Lunch
sausage mcgriddles mcdonalds,421,42.2,11.4,24.0,1000.0,1.4,7.3,Snack
crispy chicken drumstick kentucky fried chicken,70,0.0,10.6,3.0,200.0,0.0,0.8,Dinner
chicken crispy drumsticks kentucky fried chicken,156,4.5,11.8,10.1,400.0,0.0,2.2,Breakfast
biscuit kentucky fried chicken,185,22.1,3.8,9.1,500.0,0.8,2.2,Lunch
english muffin mcdonalds,97,2.9,5.7,2.3,31.0,0.2,1.1,Breakfast
french fries mcdonalds,378,49.8,4.0,18.1,200.0,4.6,2.7,Breakfast
hotdog,383,28.5,16.4,23.0,1100.0,0.0,8.1,Dinner
french fries burger king,207,28.6,2.4,9.2,200.0,2.1,1.6,Lunch
original taco with beef cheese lettuce taco bell,158,13.7,6.1,8.8,300.0,2.7,3.0,Snack
hotdog with chili,296,31.3,13.5,13.4,500.0,0.0,4.9,Snack
chicken crispy wings kentucky fried chicken,148,5.1,9.2,10.1,300.0,0.0,2.1,Dinner
egg white delight mcdonalds,250,0.0,0.0,16.0,0.0,0.0,4.0,Dinner
french toast sticks burger king,73,8.7,1.3,3.7,14.0,0.3,0.8,Lunch
mcchicken mcdonalds,358,36.6,13.7,17.3,800.0,1.7,3.1,Snack
nachos supreme taco bell,480,45.0,14.8,26.6,800.0,8.0,7.8,Snack
crispy chicken wing kentucky fried chicken,104,1.3,12.6,5.3,300.0,0.0,1.1,Snack
chicken strips burger king,105,7.4,6.6,5.5,300.0,0.5,1.0,Breakfast
crispy chicken breast kentucky fried chicken,214,0.4,38.2,6.7,700.0,0.0,1.7,Snack
sausage biscuit mcdonalds,440,31.8,11.3,29.7,1000.0,1.4,12.5,Breakfast
sausage burrito mcdonalds,339,24.2,13.0,17.1,800.0,1.2,6.1,Lunch
onion rings fried,27,2.8,0.3,1.6,15.0,0.2,0.3,Breakfast
onion rings burger king,379,39.7,3.5,23.0,700.0,2.5,3.8,Lunch
turkey patty fried,79,4.4,3.9,5.0,200.0,0.1,1.3,Snack
hotcakes with syrup mcdonalds,601,101.8,9.0,17.8,600.0,2.0,1.8,Snack
crispy chicken thigh kentucky fried chicken,163,0.0,20.4,9.1,500.0,0.0,2.5,Lunch
corn dog,195,21.0,6.7,9.4,500.0,0.8,2.7,Dinner
chicken box mcdonalds,70,5.5,0.2,4.0,0.0,0.0,0.8,Lunch
potato wedges kentucky fried chicken,379,45.0,5.4,19.8,1000.0,4.2,4.0,Dinner
scrambled eggs mcdonalds,98,0.9,7.7,7.5,40.0,0.0,2.1,Breakfast
egg mcmuffin mcdonalds,287,27.3,17.2,12.2,800.0,1.4,4.5,Breakfast
nachos taco bell,362,36.0,5.1,21.9,500.0,3.8,4.7,Breakfast
biscuit large mcdonalds,310,39.4,5.5,14.4,900.0,1.8,8.3,Snack
crispy chicken strips kentucky fried chicken,129,6.4,9.5,7.2,400.0,0.7,1.4,Breakfast
hotcakes mcdonalds,113,19.0,3.0,2.9,200.0,0.7,0.6,Dinner
chicken crispy breast kentucky fried chicken,375,11.9,29.7,23.2,800.0,0.0,5.0,Breakfast
hotcakes sausage mcdonalds,776,102.4,15.5,34.9,900.0,2.1,7.3,Lunch
chicken mcnuggets mcdonalds,48,2.4,2.5,3.2,9.0,0.0,0.5,Lunch
chips chipotle,151,2.1,0.2,7.1,0.0,0.0,0.9,Snack
biscuit mcdonalds,261,33.3,4.7,12.2,700.0,1.5,7.0,Lunch
rice bowl with chicken,36,6.4,1.6,0.4,64.0,0.2,0.01,Dinner
spaghetti with meatballs,200,22.9,8.7,8.2,600.0,5.4,2.9,Breakfast
meat ravioli canned,259,36.0,8.9,8.9,900.0,4.2,3.7,Snack
cheese ravioli canned,186,33.0,6.0,3.5,700.0,3.1,1.7,Breakfast
premium crispy chicken ranch blt sandwich mcdonalds,586,59.8,35.3,22.9,1200.0,3.4,4.7,Breakfast
steak sandwich,459,52.0,30.3,14.1,800.0,0.0,3.8,Dinner
cheeseburger burger king,380,31.5,19.4,19.7,800.0,3.7,9.1,Lunch
cheeseburger mcdonalds,313,33.1,15.4,14.0,700.0,1.3,5.3,Lunch
double cheeseburger,643,41.0,37.0,36.9,900.0,2.1,15.9,Breakfast
double hamburger,942,51.4,52.1,58.6,1100.0,5.2,21.6,Snack
premium grilled chicken classic sandwich mcdonalds,366,44.6,28.3,8.6,800.0,2.8,1.7,Lunch
big n tasty with cheese mcdonalds,573,39.7,27.2,36.0,1000.0,3.2,10.8,Snack
premium grilled chicken club sandwich mcdonalds,493,44.3,38.3,18.0,1000.0,2.7,6.4,Lunch
quarter pounder mcdonalds,417,37.9,24.1,19.8,700.0,2.7,6.9,Snack
premium crispy chicken classic sandwich mcdonalds,524,58.6,27.8,20.0,1000.0,3.2,3.2,Dinner
veggie burger,124,10.0,11.0,4.4,400.0,3.4,1.0,Snack
quarter pounder with cheese mcdonalds,513,39.7,29.0,28.3,1200.0,2.8,11.2,Dinner
beef sandwich steak raw,173,0.0,9.2,15.1,43.0,0.0,6.5,Dinner
cheeseburger,292,28.7,15.0,13.2,600.0,1.6,6.0,Snack
premium grilled chicken ranch blt sandwich mcdonalds,412,44.3,33.7,10.9,1000.0,2.8,3.0,Dinner
double whopper with cheese burger king,1061,53.9,57.7,68.1,1500.0,6.4,27.9,Breakfast
big mac mcdonalds,563,44.0,25.9,32.8,1000.0,3.5,8.3,Dinner
sandwich with cold cuts,833,79.9,41.1,39.3,2200.0,4.7,13.9,Lunch
filet o fish mcdonalds,378,35.4,15.1,19.6,600.0,1.9,3.8,Snack
hand breaded chicken tenders carls jr,57,0.2,0.0,2.9,0.0,0.0,0.6,Breakfast
grilled chicken sandwich wendys,370,0.0,0.0,8.0,0.0,0.0,42.0,Snack
sandwich with roast beef,410,44.3,28.6,13.0,800.0,0.0,7.1,Lunch
hamburger burger king,258,26.5,14.7,10.4,500.0,2.0,3.8,Lunch
big n tasty mcdonalds,524,38.5,24.7,31.7,700.0,3.2,8.6,Lunch
roast beef sandwich,364,33.1,22.6,15.3,1000.0,1.9,5.1,Dinner
roast beef sandwich with cheese,473,45.4,32.2,18.0,1600.0,0.0,9.0,Dinner
hamburger,255,28.7,12.9,9.9,500.0,1.7,3.5,Snack
premium fish sandwich burger king,572,58.7,22.6,27.4,1300.0,2.0,4.3,Snack
whopper burger king,790,52.8,35.4,48.4,1400.0,3.2,18.3,Breakfast
sandwich with tuna salad,584,55.4,29.7,28.0,1300.0,0.0,5.3,Breakfast
original chicken sandwich burger king,569,52.2,24.2,29.2,1300.0,4.8,5.4,Snack
double whopper burger king,942,51.4,52.1,58.6,1100.0,5.2,21.6,Dinner
premium crispy chicken club sandwich mcdonalds,635,57.4,39.1,29.9,1200.0,3.0,8.5,Lunch
